参数组,作物,取值,单位,数据来源,年份,备注
yield,wheat,396,kg/亩,国家统计局《2024年粮食产量数据公告》及解读,2024,全国平均单产
yield,corn,439.4,kg/亩,同上,2024,全国平均单产
yield,rice,477.0,kg/亩,同上,2024,稻谷全国平均单产
yield,soybean,133.3,kg/亩,同上,2024,全国平均单产（豆类口径）
yield,vegetable,2500,kg/亩,示意值（露地+设施无统一全国口径）,2024,保留行业参考，正式使用前复核
price,wheat,2.4,元/kg,小麦最低收购价1.18元/斤（2024）+ 主产区市场价约1.2元/斤,2024,取2.4元/kg
price,corn,2.1,元/kg,全国秋粮市场监测（新玉米0.86-1.05元/斤）;内蒙古出售价2.09元/kg,2024,取市场区间中值
price,rice,2.6,元/kg,稻谷最低收购价1.27-1.31元/斤（早籼/中晚籼/粳）,2024,取2.6元/kg
price,soybean,4.5,元/kg,全国大豆市场监测（2.0-2.4元/斤）;内蒙古4.21元/kg,2024,取4.5元/kg
price,vegetable,2.0,元/kg,示意值,2024,保留示意
cost,wheat,500,元/亩,示意值（《全国农产品成本收益资料汇编》口径参考）,,待复核
cost,corn,544,元/亩,内蒙古自治区发改委《2024年玉米成本收益直报分析》（物质与服务费用543.86元/亩）,2024,
cost,rice,700,元/亩,示意值（稻谷物化成本区间参考）,,待复核
cost,soybean,278,元/亩,内蒙古自治区发改委《2024年大豆种植成本直报调查》（物质与服务费用278.10元/亩）,2024,
cost,vegetable,1500,元/亩,示意值,,保留示意
premium,wheat,45,元/亩,三大粮食作物完全成本保险：保障水平约1125元/亩（财金〔2024〕45号）× 费率约4%,2024,
premium,corn,49,元/亩,内蒙古玉米保险费49.22元/亩（成本直报）,2024,
premium,rice,48,元/亩,完全成本保险估算（保额约1125元/亩）,2024,
premium,soybean,25,元/亩,示意值（大豆保险保费参考）,,待复核
premium,vegetable,40,元/亩,示意值,,保留示意
insured_yield,主粮,=单产,kg/亩,以保产基准≈正常年景单产（完全成本保险按产量保障）,2024,简化处理
rent,全部,500,元/亩/季,全国土地流转均价参考（内蒙古玉米土地成本514元/亩/年）;模型按季口径取整,2024,正式使用前按区域复核
disaster_threshold,全部,-0.15,,模型设定（天气冲击约-15%视为灾害年景触发赔付）,,简化
insurance_payout_ratio,全部,0.7,,保险赔付比例参考（70%）,,简化
